WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE	
bucket			
buckle			
bud			
budge			
budget			
buff			
buffet			
bug			
bugger			
build	built	built	
bulge			
bulk			
bulldoze			
bullshit			
bully			
bum			
bumble			
bump			
bunch			
bundle			
bung			
bungle			
bunk			
bunker			
buoy			
burble			
burden			
burgeon			
burgle			
burke			
burlesque			
burn			
burnish			
burp			
burrow			
burst	burst	burst	
bury			
bus			
bust			
bustle			
busy			
butcher			
butt			
butter			
button			
buttonhole			
buttress			
buy	bought	bought	
buzz			
bypass			
cable			
cache			
cackle			
cadge			
cage			
cajole			
cake			
calcify			
calcine			
calculate			
calender			
calibrate			
calk			
call			
calm			
calumniate			
calve			
camber			
camouflage			
camp			
campaign			
can			
canalize			
cancel	(cancelled canceled)	(cancelled canceled)	
candy			
cane			
canker			
cannibalize			
canoe			canoeing
canonize			
cant			
canter			
canvass			
cap			
caparison			
caper			
capitalize			
capitulate			
capsize			
captain			
captivate			
capture			
carbonize			
card			
care			
careen			
career			
caress			
caricature			
carol			
carouse			
carp			
carpet			
carry			
cart			
cartoon			
carve			
cascade			
case			
cash			
cashier			
cast	cast	cast	
castigate			
castle			
castrate			
catalogue			
catapult			
catcall			
catch	(caught catched)	(caught catched)	
catechize			
categorize			
cater			
caterwaul			
caulk			
cause			
cauterize			
caution			
cave			
cavil	(cavilled caviled)	(cavilled caviled)	(cavilling caviling)
cavort			
caw			
cease			
cede			
celebrate			
cement			
censor			
censure			
center			
centralize			
centre			
certificate			
certify			
chafe			
chaff			
chagrin	(chagrined chagrinned)	(chagrined chagrinned)	(chagrining chagrinning)
chain			
chair			
chalk			
challenge			
champ			
champion			
chance			
change			
channel	(channelled channeled)	(channelled channeled)	(channelling channeling)
chant			
chap			
chaperon			
char			
characterize			
charge			
charm			
chart			
charter			
chase			
chasten			
chastise			
chat			
chatter			
chaw			
cheapen			
cheat			
check			
checker			
checkmate			
cheep			
cheer			
chequer			
cherish			
chew			
chide			
chill			
chime			
chink			
chip			
chirp			
chirrup			
chisel	(chiselled chiseled)	(chiselled chiseled)	(chiselling chiseling)
chivvy			
chivy			
chlorinate			
chock			
choke			
choose	chose	chosen	
chop			
chortle			
chorus	(chorused chorussed)	(chorused chorussed)	(chorusing chorussing)
christen			
chronicle			
chuck			
chuckle			
chug			
chum			
churn			
cipher			
circle			
circularize			
circulate			
circumcise			
